"query_id" "url_id" "query_length" "is_homepage" "sig1" "sig2" "sig3" "sig4" "sig5" "sig6" "sig7" "sig8" "V13"
"1" 0 0 4 0 0.13 0.33 0 1 0 0 0.19 0.47 0.0624383649353353
"2" 0 1 4 0 0.12 0.4 247 477 4 0 0.22 0.59 0.182692368843431
"3" 0 2 4 0 0.15 0.41 303 313 44 0 0.2 0.81 0.11258748609209
"4" 0 3 4 0 0.06 0.35 1035 415 130 0 0.35 0.77 0.0772437174208908
"5" 0 51 4 0 0.18 0.33 2 0 0 0 0.21 0.63 0.0780337214547009
"6" 0 52 4 0 0.06 0.14 243 358 22 0 0.24 0.24 0.0471630757533578
"7" 1 4 2 0 0.67 0.26 434 970 8 0 0.37 0.35 0.159974158712944
"8" 1 5 2 1 0.51 0.63 1774 319 336 0 0.2 0.35 1.00907538627151
"9" 2 6 3 0 0.3 0.11 4 6 4 0 0.39 0.17 0.113119096471387
"10" 2 7 3 0 0.33 0.06 8 6 2 0 0.15 0.6 0.0496552522217671
"11" 2 8 3 0 0.53 0.08 136 7 32 0 0.38 0.26 0.0386002558855421
"12" 2 9 3 0 0.24 0.24 307 549 16 0 0.3 0.27 0.0885060633855226
"13" 3 10 1 0 0.18 0.29 3133 1023 752 2 0.6 0.85 0.209283087264505
"14" 3 11 1 1 0.16 0.36 5288 2286 464 1 0.24 0.2 0.105098944180761
"15" 3 12 1 0 0.08 0.46 6741 2787 918 1 0.48 0.23 0.840855861333703
"16" 3 13 1 1 0.04 0.67 552 316 190 2 0.34 0.42 0.173456365080216
"17" 3 14 1 1 0.52 0.58 721 114 210 1 0.43 0.24 1.02151131315932
"18" 3 15 1 0 0.09 0.54 209 31 52 6 0.38 0.88 0.310820869553057
"19" 3 16 1 0 0.21 0.66 6437 2433 642 3 0.53 0.74 0.968344243276872
"20" 3 17 1 0 0.13 0.49 793 1020 84 0 0.37 0.38 0.736633957838511
"21" 3 18 1 1 0.26 0.41 5109 684 1344 1 0.4 0.38 0.394413852106044
"22" 4 19 1 0 0.02 0.18 123 61 40 0 0.3 0.52 0.0377406589939309
"23" 4 20 1 0 0.11 0.23 183 315 22 0 0.4 0.46 0.0626250353463041
"24" 4 21 1 1 0.07 0.45 543 22 86 0 0.25 0.18 0.129407742624063
"25" 4 22 1 0 0.36 0.49 7164 577 746 0 0.35 0.88 0.685670693685471
"26" 4 23 1 0 0.02 0.44 708 334 102 0 0.31 0.92 -0.0644744941724935
"27" 4 24 1 0 0.07 0.41 429 310 34 0 0.25 0.35 0.232785984742878
"28" 4 25 1 0 0.26 0.61 328 385 54 0 0.27 0.39 0.959338942100562
"29" 5 172 3 1 0 0.36 5127 325 1182 0 0.51 0.37 0.00423087439051345
"30" 5 177 3 0 0.16 0.19 6 3 0 0 0.38 0.64 0.0412111220682496
"31" 5 26 3 0 0.21 0.38 169 1 40 0 0.26 0.3 0.259920515166989
"32" 5 27 3 0 0.14 0.37 390 463 74 0 0.33 0.47 0.277526499050961
"33" 5 28 3 0 0.01 0.49 36868 22 6878 0 0.55 0.61 0.464905250723391
"34" 5 29 3 0 0.04 0.38 5457 168 992 0 0.51 0.67 0.249879750760247
"35" 5 30 3 0 0.14 0.38 135179 3976 15114 0 0.69 0.84 0.671186592314433
"36" 5 31 3 0 0.07 0.33 11775 322 1458 0 0.46 0.42 0.160037531856276
"37" 5 32 3 0 0.16 0.27 575 300 92 0 0.44 0.48 0.151892603819633
"38" 6 33 2 0 0.11 0.29 1713 324 324 8 0.41 0.57 0.18647123697321
"39" 6 34 2 0 0.08 0.32 11613 43 2388 1 0.47 0.57 0.127069697437598
"40" 6 35 2 1 0.05 0.26 7672 870 1600 22 0.38 0.43 0.174916790892212
"41" 6 36 2 0 0.2 0.47 1969 78 226 0 0.63 0.87 0.734788584464935
"42" 6 37 2 1 0 0.32 42037 63 6972 1 0.47 0.58 0.0423227244141942
"43" 6 38 2 1 0.01 0.21 1715 166 380 9 0.31 0.3 0.0821340697175986
"44" 6 39 2 1 0.02 0.36 10862 300 1638 13 0.54 0.41 0.103855107220892
"45" 6 40 2 1 0.03 0.33 2069 351 1478 3 0.44 0.55 0.036411544794045
"46" 6 41 2 1 0.05 0.36 64226 846 8936 9 0.48 0.54 0.0660177101121466
"47" 6 42 2 1 0.33 0.54 19942 114 2988 102 0.56 0.35 1.04442311118957
"48" 7 43 1 0 0.16 0.31 1287 337 254 1 0.36 0.54 0.170380313819401
"49" 7 44 1 0 0.22 0.33 763 6 110 1 0.32 0.7 0.178596871186849
"50" 7 45 1 1 0.15 0.19 9600 372 222 10 0.42 0.2 0.0674263095435344
"51" 7 46 1 0 0.02 0.3 471 1 318 12 0.37 0.53 0.166492469861494
"52" 7 47 1 0 0.17 0.39 724 9 236 6 0.56 0.73 0.546153126813965
"53" 7 48 1 0 0.08 0.59 689 718 224 10 0.48 0.79 0.706505964899362
"54" 7 49 1 0 0.1 0.44 2196 67 618 15 0.42 0.4 0.674111346949301
"55" 7 50 1 0 0.46 0.64 7144 1506 938 73 0.57 0.93 0.97015400355149
"56" 8 53 2 0 0.07 0.26 2785 913 176 1 0.4 0.36 0.113373387986701
"57" 8 54 2 1 0.09 0.32 806 565 226 0 0.41 0.54 0.0469701451265338
"58" 8 55 2 1 0.09 0.38 4925 82 640 0 0.39 0.48 0.0796117219798674
"59" 8 56 2 1 0.1 0.32 1946 25 358 0 0.59 0.33 0.0185953053761005
"60" 8 57 2 0 0 0.14 1514 1315 140 8 0.33 0.9 0.062368034331574
"61" 8 58 2 1 0.03 0.28 427 109 126 3 0.39 0.26 0.0485422855846834
"62" 8 59 2 1 0.05 0.41 14907 3460 5762 2 0.71 0.74 0.303919214240148
"63" 8 60 2 1 0.16 0.6 11048 0 2034 102 0.56 0.14 0.898948320304636
"64" 8 61 2 0 0.27 0.55 7041 250 1798 149 0.55 0.54 0.990843103075504
"65" 8 62 2 1 0.32 0.72 174876 3289 15186 1625 0.73 0.52 0.946260164633946
"66" 9 59 1 1 0.41 0.62 15056 3523 5632 557 0.68 0.71 1.02795832848659
"67" 9 60 1 1 0.25 0.63 11111 0 1972 16 0.56 0.11 0.786965944592172
"68" 9 61 1 0 0.28 0.65 7073 225 1752 11 0.63 0.56 0.908993609516166
"69" 9 62 1 1 0.39 0.65 174148 3391 15098 80 0.76 0.57 0.947502770071957
"70" 9 63 1 1 0.05 0.4 15769 0 1158 23 0.42 0.45 0.282531817079372
"71" 9 64 1 0 0.09 0.27 8162 2326 562 56 0.62 0.28 0.682904143681377
"72" 9 65 1 1 0.1 0.41 7599 262 1314 17 0.55 0.4 0.250943379802795
"73" 9 66 1 0 0.1 0.52 9968 2980 1114 186 0.5 0.83 0.897893148052527
"74" 9 67 1 1 0.51 0.57 9319 3229 1340 39 0.62 0.79 0.900347179636375
"75" 9 68 1 0 0.12 0.49 9329 3474 2908 36 0.54 0.71 0.849317015998393
"76" 10 69 1 0 0.22 0.2 18 30 6 0 0.17 0.41 0.0358328568248312
"77" 10 70 1 0 0.1 0.05 45 123 4 0 0.3 0.1 0.0833450423977278
"78" 10 71 1 0 0 0.06 56 169 0 0 0.35 0.77 0.0551178715149304
"79" 10 72 1 0 0 0.19 94 34 40 0 0.21 0.52 0.0479229964301439
"80" 10 73 1 1 0.41 0.53 923 3 122 4 0.37 0.28 0.942042842640969
"81" 11 335 2 1 0.04 0.24 200 312 60 0 0.21 0.09 0.0381616272252242
"82" 11 336 2 0 0.13 0.13 101 271 0 0 0.16 0.39 0.0558656448254509
"83" 11 337 2 0 0.01 0.2 104 309 2 0 0.07 0.5 0.0467564725997578
"84" 11 74 2 0 0.07 0.07 0 0 2 0 0.17 0.47 0.0408973530660421
"85" 11 75 2 0 0.25 0.35 0 0 0 0 0.16 0.51 0.0977507613798585
"86" 12 76 1 0 0 0 34 90 6 0 0.31 0.46 0.0471666506736805
"87" 12 77 1 0 0 0.08 8 13 0 0 0.3 0.25 0.046803777160743
"88" 12 78 1 0 0.18 0.32 3 6 0 0 0 0.38 0.0141995741063608
"89" 12 79 1 0 0 0.2 1 1 0 0 0.14 0.29 0.0508227344874408
"90" 12 80 1 0 0.14 0.37 0 0 0 0 0.24 0.37 0.161506751800502
"91" 12 81 1 0 0.13 0.27 10 10 4 0 0.14 0.54 0.0360140020630193
"92" 12 82 1 0 0 0.3 216 642 0 0 0.25 0.47 0.0652788698105773
"93" 12 83 1 0 0.03 0.25 106 310 4 0 0.19 0.33 0.0410512137982129
"94" 13 84 4 0 0.06 0 316 1098 2 0 0.29 0.59 0.0268373595123822
"95" 13 85 4 0 0.16 0.19 25 19 6 0 0.1 0.19 0.0462182225870056
"96" 13 86 4 0 0.31 0.14 79 198 0 0 0.22 0.35 0.0371127286707632
"97" 13 87 4 0 0.22 0.13 29 76 0 0 0.09 0.34 0.0547812859067585
"98" 13 88 4 0 0.02 0.22 520 288 78 0 0.18 0.42 0.043572407656444
"99" 13 89 4 0 0.12 0.44 34 0 34 0 0.2 0.25 0.269633240923764
"100" 13 90 4 1 0.09 0.34 436 687 64 0 0.47 0.52 0.0570519643815679
"101" 14 91 2 1 0.06 0 65817 2592 6194 0 0.5 0.44 0.164089129496189
"102" 14 92 2 1 0.08 0.12 8609 448 8292 0 0.63 0.54 0.00213948275153919
"103" 14 93 2 0 0.06 0.21 4310 5551 264 0 0.5 0.54 0.0476801392030259
"104" 14 94 2 0 0.33 0.13 814 315 112 0 0.53 0.75 0.0419221288577468
"105" 14 95 2 0 0.35 0.44 577 78 26 0 0.31 0.03 0.723931869840342
"106" 14 96 2 1 0.08 0.36 22349 5761 3892 0 0.51 0.62 0.051724673523125
"107" 14 97 2 1 0.06 0.4 3705 5562 68 0 0.57 0.69 0.0259736983768746
"108" 15 100 2 0 0.1 0.12 83 159 4 0 0.1 0.4 0.0488320221990886
"109" 15 101 2 0 0.11 0.27 91 277 4 0 0.31 0.36 0.075276948558295
"110" 15 102 2 1 0.32 0.44 2440 358 342 23 0.25 0.25 0.716452125715461
"111" 15 98 2 0 0.14 0.13 22 76 0 0 0.17 0 0.0472614719249499
"112" 15 99 2 0 0 0.12 71 138 8 0 0.3 0.6 0.0525606222844721
"113" 16 103 2 0 0.18 0.55 528 30 152 15 0.38 0.37 0.979437112161423
"114" 16 149 2 0 0.08 0.29 17 3 10 0 0.29 0.17 0.121280420663298
"115" 16 150 2 0 0.1 0.2 213 606 16 0 0.1 0.8 0.0569824971996233
"116" 16 151 2 1 0.15 0.27 99 0 10 0 0.28 0.06 0.0498283609925498
"117" 16 152 2 0 0.21 0.38 42 1 10 0 0.39 0.85 0.264234206111395
"118" 16 153 2 0 0.16 0.3 195 532 14 0 0.16 0.7 0.0596975279866765
"119" 16 154 2 0 0.19 0.38 20 61 20 1 0.17 0.5 0.136854186313075
"120" 17 104 4 0 0.14 0.1 0 0 0 0 0 0.57 0.0250338948925053
"121" 17 105 4 0 0.33 0.32 1 1 0 0 0.05 0.63 0.0450782096788213
"122" 17 106 4 0 0.55 0.22 3 3 0 0 0 0.62 0.0423613413044679
"123" 17 107 4 0 0 0.3 139 12 22 0 0.21 0.73 0.0322033583925756
"124" 17 108 4 0 0.1 0.36 64 10 12 0 0.11 0.62 0.0407571880508525
"125" 18 109 3 0 0.17 0.16 78 205 4 1 0.36 0.5 0.0367205847905421
"126" 18 110 3 0 0.22 0.3 136 298 22 0 0.32 0.43 0.150595861184523
"127" 18 111 3 0 0.19 0.36 99 22 26 2 0.13 0.5 0.0891682097299392
"128" 18 112 3 0 0.03 0.33 348 349 98 2 0.17 0.81 0.0495700907558813
"129" 18 113 3 0 0 0.22 376 0 78 0 0.33 0.48 0.0260227884529655
"130" 18 114 3 0 0.19 0.38 409 12 116 6 0.39 0.44 0.460012825433979
"131" 18 115 3 0 0.14 0.35 437 394 120 2 0.26 0.58 0.167315741864886
"132" 18 116 3 0 0.16 0.38 380 259 48 0 0.26 0.66 0.183550338709633
"133" 19 117 2 0 0.17 0.23 9 28 2 0 0.24 0.31 0.0334071593085082
"134" 19 118 2 0 0.12 0.41 204 313 12 0 0.11 0.13 0.124213567910539
"135" 19 119 2 0 0.27 0.44 134 246 12 0 0.23 0.26 0.45975241390362
"136" 19 120 2 0 0.16 0.45 107 238 32 0 0.26 0.29 0.436164057669791
"137" 19 121 2 1 0.14 0.62 1902 202 672 3 0.24 0.37 0.533058537101139
"138" 20 121 1 1 0.23 0.66 1907 157 702 36 0.32 0.33 0.945994520121287
"139" 20 122 1 1 0 0.21 448 336 172 4 0.29 0.25 0.0622533893252722
"140" 20 123 1 1 0.19 0.19 597 21 194 8 0.24 0.25 0.0842194791972702
"141" 20 124 1 1 0.34 0.19 2674 276 284 3 0.49 0.23 0.0289143619452768
"142" 20 125 1 1 0.36 0.54 956 591 248 2 0.28 0.27 0.88378939918913
"143" 20 126 1 1 0.11 0.16 1363 0 544 4 0.46 0.28 0.0355204301902717
"144" 20 127 1 1 0.31 0.66 1018 633 164 1 0.33 0.2 0.902734511310938
"145" 20 178 1 0 0.18 0.49 544 313 46 0 0.31 0.36 0.653373488797691
"146" 20 179 1 1 0.39 0.63 15942 811 2528 155 0.42 0.43 0.962155212595936
"147" 21 128 2 0 0.12 0.33 160 49 24 2 0.29 0.91 0.030942910446018
"148" 21 129 2 0 0.04 0.47 15 0 22 0 0.4 0.47 0.555145509859099
"149" 21 130 2 0 0.28 0.29 645 0 140 4 0.44 0.52 0.280098025690113
"150" 21 131 2 1 0.11 0.23 11032 1771 2148 5 0.52 0.54 0.0104167257358522
"151" 21 132 2 0 0.13 0.63 1907 4 406 10 0.41 0.45 0.993248398478734
"152" 21 133 2 1 0.37 0.54 42700 891 5940 245 0.68 0.57 1.01267958400803
"153" 21 679 2 0 0.13 0.04 159 156 18 1 0.37 0.52 0.0509516168888264
"154" 22 134 2 0 0.32 0.03 106 268 0 0 0.28 0 0.0938850193919669
"155" 22 135 2 0 0.2 0.22 4 13 0 0 0 0.32 0.0374419228293306
"156" 22 136 2 0 0.49 0.39 538 397 20 0 0.5 0.74 0.598205318909668
"157" 22 137 2 0 0.35 0.29 2 0 2 0 0.22 0.15 0.149182721546578
"158" 22 138 2 1 0.13 0.32 9937 2469 3310 0 0.58 0.7 0.0297590573440894
"159" 23 139 4 0 0.05 0.19 0 3 0 0 0.18 0.38 0.0480086495942152
"160" 23 140 4 0 0.2 0.41 3 7 2 0 0.16 0.22 0.209213910053184
"161" 23 141 4 0 0.18 0.34 44 135 6 0 0.08 0.16 0.044929597442085
"162" 24 142 2 1 0 0.36 7323 42 468 0 0.38 0.31 0.025931232167473
"163" 24 143 2 1 0.12 0.1 27828 750 702 11 0.39 0.27 0.09774056917735
"164" 24 144 2 1 0.12 0.34 7641 904 818 1 0.23 0.31 0.0578077138404105
"165" 24 145 2 0 0.21 0.53 692 1537 24 5 0.32 0.42 0.891546733859566
"166" 24 146 2 1 0.22 0.51 6690 1089 614 1 0.37 0.16 0.526626460451879
"167" 24 147 2 0 0.1 0.31 584 258 94 2 0.23 0.28 0.090609033269129
"168" 24 148 2 0 0.13 0.55 324 453 42 0 0.29 0.6 0.659186423095519
"169" 25 155 1 1 0.14 0.29 9509 1015 5016 2 0.53 0.6 0.121384132459806
"170" 25 156 1 0 0.18 0.51 7111 1749 944 97 0.57 0.82 1.01304891556488
"171" 25 195 1 0 0.16 0.44 5873 346 1024 2 0.49 0.59 0.622236396000168
"172" 25 196 1 0 0.28 0.57 685 634 48 2 0.41 0.63 0.990108018327615
"173" 25 197 1 1 0.21 0.15 12258 646 1934 1 0.44 0.48 -0.00694047706916401
"174" 25 198 1 1 0.12 0.27 9833 561 3214 1 0.38 0.51 0.0687042812584008
"175" 25 199 1 1 0.18 0.3 999 3 308 2 0.42 0.16 0.102538164025355
"176" 25 200 1 1 0.1 0.43 6300 957 1276 4 0.46 0.35 0.179584247628048
"177" 25 201 1 0 0.16 0.52 700 499 184 6 0.33 0.67 0.685704816790135
"178" 26 157 1 0 0.18 0.11 3 0 0 0 0.15 0.12 0.0490398992397392
"179" 26 158 1 0 0.08 0.07 109 298 0 0 0.23 0.53 0.0482280455643228
"180" 26 159 1 0 0.14 0.19 90 270 8 0 0.15 0.19 0.0445529075535716
"181" 26 160 1 0 0.08 0.23 1 0 0 0 0.24 0.24 0.037120108402085
"182" 26 161 1 0 0.08 0.27 0 0 0 0 0.18 0.25 0.0352726922523124
"183" 26 162 1 0 0.02 0.11 0 0 0 0 0.06 0.4 0.0264544609464606
"184" 26 163 1 0 0.09 0.3 0 0 0 0 0.25 0.33 0.0627984292997212
"185" 27 164 2 0 0.18 0.36 114 0 46 0 0.12 0.34 0.0649981246669911
